360,78,0.116883117,2
363,60,0.180821918,2
363,175,0.084398977,2
364,99,0.292016807,1
364,94,0.072847682,2
364,141,0.243445693,2
365,66,0.1264637,2
365,85,0.182012848,1
365,149,0.321148825,2
365,208,0.45631068,1
365,182,0.091816367,2
366,46,0.342323651,1
367,42,0.259681093,1
367,90,0.45625,2
367,229,0.129411765,2
368,222,0.107606679,2
369,95,0.255274262,1
369,175,0.46124031,1
370,64,0.127610209,2
370,179,0.547314578,2
371,32,0.15,2
371,162,0.206521739,2
372,86,0.105788423,2
372,211,0.555282555,1
372,232,0.483783784,2
373,87,0.072093023,1
376,54,0.158798283,2
376,70,0.21038961,1
376,210,0.232876712,1
377,87,0.387362637,1
378,90,0.216666667,2
379,105,0.274559194,2
379,62,0.281314168,1
379,203,0.459574468,1
379,195,0.229166667,1
380,43,0.147058824,2
380,69,0.52345679,2
380,235,0.498630137,2
380,202,0.298947368,1
381,70,0.113157895,1
381,137,0.51,2
382,68,0.325991189,2
382,211,0.623655914,2
383,137,0.211981567,2
383,123,0.524675325,2
385,73,0.126146789,1
385,81,0.459143969,1
385,202,0.515306122,2
386,198,0.282692308,2
386,125,0.463035019,1
386,202,0.425641026,2
387,86,0.4,1
387,236,0.403628118,2
388,46,0.295049505,1
388,175,0.204255319,2
390,225,0.204724409,1
390,166,0.144351464,1
391,33,0.285714286,2
391,152,0.39408867,1
391,140,0.330864198,1
391,227,0.60326087,2
391,190,0.298994975,1
391,214,0.319109462,2
392,216,0.173228346,1
392,160,0.077272727,1
392,142,0.167910448,1
392,170,0.219461698,2
392,202,0.531578947,1
394,69,0.408163265,2
395,145,0.548387097,1
397,109,0.569863014,2
397,202,0.249376559,1
398,119,0.618421053,2
399,87,0.155339806,1
399,73,0.367088608,2
399,63,0.070588235,2
400,60,0.18961039,2
400,100,0.27348643,1
400,204,0.063786008,1
401,100,0.165289256,1
401,106,0.423300971,2
401,236,0.438818565,2
402,104,0.11627907,1
402,124,0.539906103,2
402,144,0.27804878,1
403,76,0.170731707,1
403,237,0.44040404,1
404,91,0.101351351,1
405,212,0.552356021,1
405,134,0.131679389,1
405,127,0.309978769,1
406,95,0.118556701,2
406,160,0.186170213,2
407,226,0.485933504,2
409,80,0.255924171,2
410,39,0.153674833,1
410,50,0.231182796,2
410,114,0.121412804,2
411,51,0.3515625,1
412,49,0.20083682,3
412,57,0.099190283,2
412,64,0.425581395,2
412,204,0.183716075,3
412,188,0.167865707,2
413,158,0.243559719,3
414,161,0.453586498,2
415,33,0.172985782,1
417,53,0.186813187,2
417,70,0.200923788,3
418,50,0.609819121,3
418,75,0.396728016,2
418,210,0.358208955,2
421,60,0.245412844,1
421,190,0.290187891,3
422,68,0.458585859,2
422,73,0.188585608,3
422,108,0.418067227,2
425,55,0.623978202,1
425,201,0.195599022,2
426,57,0.225247525,1
426,230,0.264339152,2
427,54,0.189493433,2
427,79,0.535620053,3
427,104,0.281464531,1
427,201,0.33935743,1
428,58,0.072727273,1
428,46,0.111561866,3
428,83,0.119617225,3
430,31,0.551020408,2
430,183,0.091954023,1
431,55,0.442307692,2
431,62,0.175126904,3
432,135,0.1,3
433,82,0.127098321,3
433,87,0.086253369,1
433,157,0.291115312,3
434,92,0.359580052,2
434,238,0.411417323,3
436,55,0.393213573,1
436,107,0.370288248,1
437,123,0.188720174,1
437,138,0.387892377,1
438,105,0.474254743,2
